1,STATE ABBREVIATION,STATE,DISTRICT,FEC ID,(I) INCUMBENT INDICATOR,CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,GE RUNOFF ELECTION VOTES (GA),GE RUNOFF ELECTION % (GA),COMBINED GE PARTY TOTALS (when applicable),COMBINED GE PARTY % (when applicable),PE WINNER INDICATOR,GE WINNER INDICATOR,FOOTNOTES,1ST ROUND RCV VOTES,1ST ROUND RCV %,2ND ROUND RCV VOTES,2ND ROUND RCV %,3RD ROUND RCV VOTES,3RD ROUND RCV %,,,,,,
50,AZ,Arizona,S,S2AZ00299,,Marc J.,Victor,"Victor, Marc J.",,LIB,"3,065",100.00%,,,"53,762",2.09%,,,,,W,,,,,,,,,,,,,,
51,AZ,Arizona,S,n/a,,,,,Party Votes:,LIB,"3,065",,,,,,,,,,,,,,,,,,,,,,,,
52,AZ,Arizona,S,S6AZ00282,,"Lester ""Skip""",Maul,"Maul, Lester ""Skip""",,W,,,,,95,0.00%,,,,,,,,,,,,,,,,,,,
53,AZ,Arizona,S,S2AZ00463,,Christopher,Bullock,"Bullock, Christopher",,W,,,,,27,0.00%,,,,,,,,,,,,,,,,,,,
54,AZ,Arizona,S,S2AZ00471,,"Ty Richard, Jr.",McLean,"McLean, Ty Richard, Jr.",,W,,,,,21,0.00%,,,,,,,,,,,,,,,,,,,
55,AZ,Arizona,S,S2AZ00489,,Roxanne Renee,Rodriguez,"Rodriguez, Roxanne Renee",,W,,,,,20,0.00%,,,,,,,,,,,,,,,,,,,
56,AZ,Arizona,S,S2AZ00455,,Sherrise,Bordes,"Bordes, Sherrise",,W,,,,,17,0.00%,,,,,,,,,,,,,,,,,,,
57,AZ,Arizona,S,S2AZ00505,,"William ""Will"" Michael",Taylor,"Taylor, William ""Will"" Michael",,W,,,,,8,0.00%,,,,,,,,,,,,,,,,,,,
58,AZ,Arizona,S,S2AZ00497,,Todd James,Smeltzer,"Smeltzer, Todd James",,W,,,,,6,0.00%,,,,,,,,,,,,,,,,,,,
59,AZ,Arizona,S,S8AZ00312,,Edward,Davida,"Davida, Edward",,W,,,,,3,0.00%,,,,,,,,,,,,,,,,,,,
60,AZ,Arizona,S,n/a,,,,,Total State Votes:,,"1,405,533",,,,"2,572,294",,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,AR,Arkansas,S,S0AR00150,(I),John,Boozman,"Boozman, John",,R,"201,677",58.03%,,,"592,437",65.73%,,,,,W,W,,,,,,,,,,,,,
63,AR,Arkansas,S,S2AR00107,,Jake,Bequette,"Bequette, Jake",,R,"71,809",20.66%,,,,,,,,,,,,,,,,,,,,,,,
64,AR,Arkansas,S,S2AR00081,,Jan,Morgan,"Morgan, Jan",,R,"65,958",18.98%,,,,,,,,,,,,,,,,,,,,,,,
65,AR,Arkansas,S,S2AR00073,,Heath,Loftis,"Loftis, Heath",,R,"8,112",2.33%,,,,,,,,,,,,,,,,,,,,,,,
66,AR,Arkansas,S,n/a,,,,,Party Votes:,R,"347,556",,,,,,,,,,,,,,,,,,,,,,,,
67,AR,Arkansas,S,S2AR00115,,Natalie,James,"James, Natalie",,D,"49,722",54.09%,,,"280,187",31.09%,,,,,W,,,,,,,,,,,,,,
68,AR,Arkansas,S,S0AR00218,,Dan,Whifield,"Whifield, Dan",,D,"28,319",30.80%,,,,,,,,,,,,,,,,,,,,,,,
69,AR,Arkansas,S,S2AR00123,,Jack E.,Foster,"Foster, Jack E.",,D,"13,891",15.11%,,,,,,,,,,,,,,,,,,,,,,,
70,AR,Arkansas,S,n/a,,,,,Party Votes:,D,"91,932",,,,,,,,,,,,,,,,,,,,,,,,
71,AR,Arkansas,S,S2AR00131,,Kenneth,Cates,"Cates, Kenneth",,LIB,,,,,"28,682",3.18%,,,,,,,,,,,,,,,,,,,
72,AR,Arkansas,S,n/a,,,,,Total State Votes:,,"439,488",,,,"901,306",,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,CA,California,S-Unexpired Term,S2CA00955,(I),Alex ,Padilla,"Padilla, Alex ",,D,"3,740,582",54.98%,,,"6,559,308",60.89%,,,,,W,W,"*  California utilizes a ""Top Two"" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.",,,,,,,,,,,,
75,CA,California,S-Unexpired Term,S2CA01060,,Mark P. ,Meuser,"Meuser, Mark P. ",,R,"1,503,480",22.10%,,,"4,212,450",39.11%,,,,,W,,"*  California utilizes a ""Top Two"" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.",,,,,,,,,,,,
76,CA,California,S-Unexpired Term,S8CA00515,,James P.,Bradley,"Bradley, James P.",,R,"472,052",6.94%,,,,,,,,,,,"*  California utilizes a ""Top Two"" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.",,,,,,,,,,,,
77,CA,California,S-Unexpired Term,S2CA01250,,Jon ,Elist,"Elist, Jon ",,R,"403,722",5.93%,,,,,,,,,,,"*  California utilizes a ""Top Two"" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.",,,,,,,,,,,,
78,CA,California,S-Unexpired Term,S2CA01276,,"Timothy, Jr.",Ursich,"Ursich, Timothy, Jr.",,D,"226,447",3.33%,,,,,,,,,,,"*  California utilizes a ""Top Two"" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.",,,,,,,,,,,,
79,CA,California,S-Unexpired Term,S2CA01284,,Dan ,O'Dowd,"O'Dowd, Dan ",,D,"191,531",2.82%,,,,,,,,,,,"*  California utilizes a ""Top Two"" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.",,,,,,,,,,,,
80,CA,California,S-Unexpired Term,S2CA01185,,Myron L. ,Hall,"Hall, Myron L. ",,R,"143,038",2.10%,,,,,,,,,,,"*  California utilizes a ""Top Two"" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.",,,,,,,,,,,,
81,CA,California,S-Unexpired Term,S0CA00496,,Daphne ,Bradford,"Bradford, Daphne ",,NOP,"112,191",1.65%,,,,,,,,,,,"*  California utilizes a ""Top Two"" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.",,,,,,,,,,,,
82,CA,California,S-Unexpired Term,S6CA00949,,John Thompson,Parker,"Parker, John Thompson",,W(PAF),"9,951",0.15%,,,,,,,,,,,"*  California utilizes a ""Top Two"" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.",,,,,,,,,,,,
83,CA,California,S-Unexpired Term,S2CA01169,,Irene,Ratliff,"Ratliff, Irene",,W(NOP),12,0.00%,,,,,,,,,,,"*  California utilizes a ""Top Two"" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.",,,,,,,,,,,,
